,beer_style,abv,num_ratings,beer_style_group,prepped_words,month_added,year_added,Dominant_Topic,Topic_Perc_Contrib
11,Pilsner - German,5.0,297,Pilsner,"['meeting', 'friend', 'bellwoods', 'became', 'unabashed', 'fan', 'mainstay', 'particular', 'became', 'frequent', 'topic', 'conversation', 'amongst', 'team', 'given', 'various', 'exploration', 'decision', 'noble', 'heavy', 'pils', 'felt', 'right', 'within', 'indicator', 'change', 'taste', 'crackery', 'dry', 'pils', 'noble', 'earthy', 'zesty', 'bright', 'straw', 'rounded', 'yeast', 'tightly', 'controlled', 'fermentation', 'entirely', 'drinkable', 'session', 'fairly', 'excited', 'finally', 'back', 'can']",12,2018,5.0,0.2803
12,English Mild Ale,4.7,207,Other,"['chai', 'tea', 'english', 'mild', 'w', 'lacto']",1,2017,5.0,0.1859
13,IPA - Imperial / Double,7.9,439,IPA,"['fancied', 'something', 'little', 'different', 'big', 'dank', 'resinous', 'dipas', 'know', 'well', 'love', 'something', 'bit', 'lighter', 'something', 'almost', 'almost', 'feel', 'sessionable', 'delicate', 'profile', 'featuring', 'soft', 'fruit', 'subtle', 'spice', 'slightly', 'floral', 'herbal', 'aftertaste', 'citrus', 'zest', 'thirst', 'quencher', 'sure', 'take', 'slow', 'coming', 'savour', 'star', 'gaze']",9,2018,1.0,0.2444
14,Märzen,5.0,911,Other,"['burnt', 'reddish', 'orange', 'colour', 'sweet', 'biscuitlike', 'maltiness', 'dominates', 'slightly', 'clean', 'bitterness']",3,2011,4.0,0.2587
15,Cider - Other Fruit,5.0,25386,Cider,"['ice', 'chill', 'smile', 'heat', 'day', 'thirst', 'quenching', 'apple', 'ripe', 'fuzzy', 'peach', 'collide', 'fantasy', 'crank', 'piano', 'key', 'dance', 'want', 'summer', 'breeze', 'soar', 'light', 'crescent', 'moon', 'party']",7,2013,5.0,0.2177
16,Mead - Acerglyn / Maple Wine,14.0,390,Mead,"['meadowfoam', 'blossom', 'mead', 'maple', 'syrup', 'aged', 'used', 'barrel', 'previously', 'holding', 'kentucky', 'brunch', 'brand', 'toppling', 'goliath']",2,2019,6.0,0.2396
17,Porter - Coffee,6.0,2558,Porter,"['four', 'can', 'local', 'series', 'featuring', 'coffee', 'roasted', 'deeper', 'root', 'coffee', 'cincinnati', 'oh', 'exclusively', 'porter', 'lactose']",12,2018,6.0,0.2312
18,Strong Ale - English,11.5,470,Strong Ale,"['bourbon', 'barrel', 'aged', 'old', 'alestrong']",1,2016,3.0,0.2263
19,Schwarzbier,5.8,295,Other,"['chocolate', 'hazelnut', 'clean', 'hallertau', 'mittelfrüh']",8,2019,5.0,0.2061
20,IPA - American,6.9,295,IPA,"['big', 'hoppy', 'monster', 'east', 'coast', 'double', 'dry', 'hopped', 'much', 'citra', 'mosaic', 'cram', 'fermenter', 'think', 'fruity', 'juicy', 'predominantly', 'soft', 'slight', 'underlying', 'bitterness', 'smooth', 'long', 'grain', 'carapils', 'wheat', 'flaked', 'oat', 'magnum', 'citra', 'chinook', 'mosaic']",3,2017,1.0,0.3611
21,Old Ale,9.4,933,Other,"['volume', 'second', 'release', 'wood', 'series', 'ongoing', 'series', 'focusing', 'high', 'gravity', 'aged', 'spirit', 'barrel', 'volume', 'old', 'aged', 'bourbon', 'barrel', 'whiskey', 'beautifully', 'strong', 'base', 'resulting', 'fullbodied', 'combining', 'rich', 'caramel', 'sweetness', 'robust', 'bourbon', 'intensity']",7,2014,3.0,0.2616
22,Sour - Berliner Weisse,3.2,273,Sour,"['take', 'classic', 'berliner', 'weisse', 'refreshing', 'sparkly', 'tart']",5,2016,3.0,0.2024
23,Strong Ale - English,5.3,2914,Strong Ale,"['midstraw', 'coloured', 'tropical', 'fruit', 'mango', 'sweet', 'way', 'balanced', 'bitterness', 'fruity', 'toffee', 'apple', 'banana', 'overall', 'clean', 'tasting', 'sweetish', 'cloying']",10,2011,4.0,0.229
24,Wheat Beer - American Pale Wheat,4.0,353,Wheat Beer,"['candied', 'fruit', 'passion', 'fruit', 'distinct', 'wheat', 'backed', 'orange', 'sherbet', 'tropical', 'fruit', 'touch', 'evergreen', 'palat']",6,2017,1.0,0.2743
25,IPA - New England,6.5,2837,IPA,"['travelled', 'yakima', 'hand', 'select', 'source', 'second', 'time', 'working', 'ych', 'secured', 'best', 'lot', 'privilege', 'using', 'developed', 'series', 'six', 'ddh', 'ipas', 'share', 'fruit', 'hand', 'selection', 'iteration', 'feature', 'citra', 'take', 'time', 'explore', 'craft', 'world', 'soughtafter', 'varietal']",10,2019,2.0,0.3006
26,Traditional Ale,6.3,460,Other,"['legend', 'lost', 'dutchman', 'mine', 'haunted', 'mind', 'soul', 'treasure', 'seeker', 'throughout', 'world', 'much', 'finding', 'way', 'put', 'stroopwafel', 'haunted', 'shared', 'desire', 'brought', 'unique', 'collaboration', 'lake', 'time', 'gezellig', 'together', 'found', 'perfect', 'pairing', 'wafer', 'cooky', 'caramel', 'goodness', 'stroopwafel', 'rich', 'dutch', 'hope', 'find', 'treasure', 'looking', 'well']",1,2020,2.0,0.332
27,Sour - Fruited Gose,4.5,1807,Sour,"['latest', 'popular', 'triple', 'fruited', 'gose', 'series', 'brings', 'together', 'juicy', 'mango', 'along', 'double', 'guava', 'big', 'tropical', 'smooth', 'sweet']",10,2019,1.0,0.2872
28,Lager - Pale,6.5,226,Lager,"['team', 'inn', 'created', 'kettle', 'soured', 'lemon', 'lemon', 'myrtle', 'expect', 'refreshing', 'citrus', 'sourness', 'usually', 'found', 'gab']",8,2018,5.0,0.2205
29,Stout - Imperial / Double,14.0,2541,Stout,"['rarest', 'heron', 'world', 'also', 'name', 'rarest', 'barrel', 'aged', 'ever', 'bottled', 'aged', 'three', 'old', 'bourbon', 'barrel', 'never', 'done', 'may', 'never']",4,2016,3.0,0.2389
30,Traditional Ale,6.9,170,Other,"['honey', 'hibiscus', 'awesomeness']",9,2019,3.0,0.195
31,IPA - Triple New England,10.0,2330,IPA,"['ddh', 'oj', 'run', 'steroid', 'triple', 'double', 'dry', 'hopped', 'citra', 'galaxy', 'amarillo']",2,2019,1.0,0.2678
32,Cider - Traditional,6.0,518,Cider,"['red', 'cider', 'colourblind', 'tonne', 'green', 'apple', 'pressed', 'little', 'muscovado', 'sugar', 'added', 'give', 'gorgeous', 'red', 'liquid', 'colour', 'change', 'result', 'tannin', 'skin', 'oxidising', 'paid', 'tribute', 'twist', 'naming', 'cider', 'redgreen', 'colourblindness', 'pumpclip', 'inspired', 'ishihara', 'test', 'used', 'test', 'people', 'perception', 'colour', 'ensured', 'different', 'enough', 'normally', 'differentiate', 'red', 'green', 'still', 'pick', 'pattern']",11,2017,2.0,0.1966
33,IPA - New England,7.4,2089,IPA,"['juicy', 'smooth', 'england', 'returned', 'time', 'around', 'double', 'dryhopped', 'upped', 'ever', 'slightly', 'hopped', 'citra', 'lot', 'take', 'spotlight', 'show', 'exactly', 'capable', 'fanzine', 'club']",6,2018,1.0,0.2438
34,Kristallweizen,6.2,1421,Other,"['shannon', 'blackberry', 'wheat', 'beautiful', 'purple', 'drank', 'purple', 'drank', 'wheat', 'fermented', 'fresh', 'blackberry', 'combination', 'blackberry', 'wheat', 'make', 'aperfect', 'outdoor', 'sugar', 'blackberry', 'ferment', 'leaving', 'beautifully', 'dry', 'subtle', 'blackberry', 'pours', 'purple', 'pink', 'headand', 'pair', 'well', 'bbq', 'anything', 'spicy']",9,2018,3.0,0.2369
35,IPA - Triple New England,9.6,1599,IPA,"['biggest', 'england', 'date', 'nearly', 'doubled', 'grain', 'bill', 'push', 'mouthfeel', 'top', 'double', 'dry', 'hopped', 'favorite', 'variety', 'amp', 'juicy']",3,2018,1.0,0.2845
36,Stout - Coffee,7.2,774,Stout,"['intensely', 'smooth', 'blended', 'mix', 'ethically', 'sourced', 'coffee', 'supplied', 'kelham', 'island', 'grind', 'caf']",8,2016,3.0,0.1989
37,Lager - Dark,5.7,938,Lager,"['czechstyle', 'dark', 'thats', 'deceptively', 'smooth', 'clean', 'roasted', 'decocted', 'mouthfeel']",8,2017,5.0,0.1954
38,Sour - Fruited Berliner Weisse,7.0,339,Sour,"['send', 'tastebud', 'wild', 'world', 'sour', 'delightful', 'combination', 'sour', 'grapefruit', 'super', 'refreshing', 'next', 'level', 'sour']",6,2020,3.0,0.2116
39,Stout - Coffee,6.5,2069,Stout,"['special', 'edition', 'broken', 'dream', 'bourbon', 'barrel', 'aged', 'coffee', 'source', 'finest', 'green', 'bean', 'aged', 'wet', 'barrel', 'least', 'roasting', 'small', 'batch', 'required', 'experimented', 'coffee', 'blacklight', 'banana', 'full', 'batch', 'broken', 'dream', 'really', 'allows', 'shine']",10,2016,3.0,0.2422
40,Mead - Metheglin,4.0,1248,Mead,"['rich', 'honey', 'lemon', 'tarragon', 'tantalising', 'salty', 'like', 'sea', 'also']",3,2016,4.0,0.1813
41,IPA - Session / India Session Ale,4.3,226,IPA,"['say', 'hello', 'chinook', 'latest', 'addition', 'cask', 'series', 'packed', 'full', 'brim', 'guessed', 'chinook']",2,2019,1.0,0.2407
42,Winter Warmer,10.4,637,Other,"['spiced', 'winter', 'warmer', 'slightly', 'bigger', 'aged', 'bourbon', 'barrel', 'used', 'bliss', 'bourbon', 'barrel', 'aged', 'maple', 'syrup', 'big', 'sweet', 'maple', 'synergy', 'subdued', 'spicing', 'touch', 'bourbon', 'oak', 'yuletide', 'sipper', 'ever']",12,2019,6.0,0.2281
43,Brown Ale - American,4.9,1050,Brown Ale,"['embellished', 'roasted', 'hazelnut', 'bittered', 'using', 'perle', 'wide', 'array', 'specialty', 'commingles', 'create', 'complex']",11,2014,5.0,0.2168
44,Stout - Imperial / Double,9.0,1701,Stout,"['exceptional', 'expedition', 'strength', 'velvety', 'smooth', 'like', 'magic', 'carpet', 'pitch', 'dark', 'like', 'moonless', 'night', 'quite', 'probably', 'ride', 'take', 'eternal', 'nirvana', 'god', 'put', 'weary', 'soul', 'rest', 'pony', 'enlightening']",5,2015,2.0,0.23
45,IPA - International,6.1,169,IPA,"['norwegian', 'kviek', 'yeast']",10,2018,1.0,0.195
46,IPA - American,6.8,4876,IPA,"['soft', 'wheat', 'oat', 'driven', 'rhythmical', 'throbbing', 'eruption', 'simcoe', 'centennial', 'el', 'dorado', 'hammering', 'reverberating', 'palpitation', 'ripe', 'mango', 'orange', 'pineapple', 'crush']",2,2019,1.0,0.3253
47,Porter - Coffee,9.0,506,Porter,"['strength', 'coffee', 'porter', 'gram', 'per', 'litre', 'climpson', 'whole', 'bean', 'brazil', 'fazenda', 'santissimo', 'expect', 'chocolate', 'nutty', 'coffee', 'subtle', 'maple', 'pecan', 'brazilian', 'bean', 'enhance', 'fullness', 'already', 'decadent', 'modern', 'exploratory', 'coffee', 'porter']",11,2019,6.0,0.3596
48,Sour - Fruited Berliner Weisse,7.4,3499,Sour,"['ike', 'cup', 'raspberry', 'granola', 'conditioned', 'raspberry', 'toasted', 'coconut', 'almond', 'maple', 'cinnamon', 'vanilla', 'milk', 'sugar']",10,2019,6.0,0.3021
49,Porter - Other,5.2,850,Porter,"['special', 'version', 'latest', 'collaboration', 'huddersfield', 'institution', 'dixons', 'milk', 'ice', 'homage', 'favourite', 'local', 'treat', 'use', 'golden', 'promise', 'crystal', 'carafa', 'light', 'maltiness', 'colour', 'pinhead', 'oat', 'oat', 'used', 'give', 'smooth', 'velvety', 'body', 'added', 'lactose', 'milk', 'sugar', 'fermentation', 'little', 'premium', 'madagascan', 'vanilla', 'nostalgically', 'sweet', 'milky', 'like', 'milk', 'ice', 'taste', 'vegan', 'contains', 'lacto']",4,2019,6.0,0.282
50,Cider - Rosé,5.5,25534,Cider,"['angry', 'orchard', 'rosé', 'cider', 'rare', 'red', 'flesh', 'apple', 'france', 'apple', 'crisp', 'juicy', 'red', 'core', 'adding', 'irresistible', 'rosy', 'blush', 'appleforward', 'taste', 'refreshing', 'dry']",12,2017,3.0,0.2948
51,Stout - Imperial / Double,8.4,4604,Stout,"['project', 'began', 'double', 'shot', 'matured', 'distinct', 'perhaps', 'complex', 'yet', 'monson', 'maxwell', 'road', 'maple', 'grade', 'dark', 'amber', 'maple', 'syrup', 'good', 'morning', 'pours', 'pitch', 'black', 'glass', 'creamy', 'mousselike', 'head', 'bubble', 'give', 'way', 'rich', 'milk', 'chocolate', 'cocoa', 'powder', 'dark', 'amber', 'maple', 'syrup', 'start', 'blast', 'milk', 'chocolate', 'sweet', 'maple', 'syrup', 'rich', 'fresh', 'coffee', 'deeper', 'complexity', 'uncovered', 'warms', 'crew', 'tree', 'taste', 'chocolate', 'covered', 'maple', 'candy', 'vanilla', 'chocolate', 'cake', 'sugar', 'fresh', 'roasted', 'coffee', 'refined', 'richer', 'integrated', 'batch', 'number', 'rock', 'world', 'super', 'decadent', 'treat', 'good', 'morning', 'begs', 'shared', 'contemplated']",12,2014,6.0,0.4358
52,Farmhouse Ale - Other,5.4,1640,Farmhouse Ale,"['sour', 'farmhouse', 'al']",10,2015,3.0,0.195
53,Traditional Ale,5.0,487,Other,"['hemp', 'subtle', 'earthy', 'nutty', 'derived', 'addition', 'hemp', 'seed', 'mash', 'tasting', 'appearance', 'copper', 'offwhite', 'head', 'dank', 'resiny', 'earthy', 'pine', 'citrus', 'fruit', 'dank', 'earthy', 'weedy', 'grapefruit', 'citrus', 'fruit', 'mediumlight', 'body', 'medium', 'bitterness', 'dry']",4,2017,4.0,0.2977
54,Farmhouse Ale - Saison,5.5,607,Farmhouse Ale,"['brettanomyces', 'saison', 'fermented', 'jasmin', 'ooloing', 'tea', 'aged', 'barrel']",6,2018,3.0,0.2318
55,Pilsner - Czech,5.1,257,Pilsner,"['furrow', 'collaboration', 'counter', 'weight', 'hamden', 'ct', 'honor', 'welcoming', 'matt', 'sean', 'shared', 'commitment', 'knew', 'pilsner', 'recently', 'taken', 'delivery', 'oak', 'foeders', 'felt', 'particularly', 'inspired', 'czech', 'tradition', 'wood', 'bohemian', 'developed', 'slight', 'oaky', 'tannin', 'quality', 'fermentation', 'foeder', 'accent', 'complimented', 'light', 'dry', 'lemony', 'czech', 'kazbek', 'thoroughly', 'enjoying', 'prepare', 'bustle', 'spring']",3,2018,2.0,0.2138
56,Sour - Fruited Gose,4.5,1107,Sour,"['lly', 'wheel', 'zinger', 'scottish', 'magician', 'lover', 'thing', 'facescrunchingly', 'sour', 'let', 'completely', 'leash', 'finished', 'product', 'mouth', 'puckeringly', 'sour', 'gose', 'packed', 'nine', 'kg', 'fresh', 'lime', 'kilo', 'anglesey', 'sea', 'salt', 'sprinkling', 'lime', 'zest', 'boot', 'named', 'injoke', 'complete', 'lack', 'fashion', 'sense', 'result', 'super', 'dry', 'juicy', 'zesty', 'gose', 'faint', 'heart']",6,2019,1.0,0.2378
57,Brown Ale - English,4.7,180,Brown Ale,"['old', 'classic', 'tweaked', 'fuller', 'bodied', 'hugely', 'satisfying', 'result', 'alnwick', 'tradition', 'historic', 'tyne', 'wear', 'beautiful', 'deep', 'reddishbrown', 'complex', 'dried', 'fruit', 'lovely', 'balance', 'credit', 'north', 'east']",10,2013,4.0,0.2664
58,Porter - Baltic,6.2,1286,Porter,"['classic', 'porter', 'packaged', 'nitro', 'can', 'adding', 'dimension', 'dark', 'enigmatic', 'red', 'berry', 'touch', 'smoke', 'bag', 'dark', 'chocolate', 'velvet', 'smooth', 'mouthfeel', 'gone', 'right', 'back', 'start', 'original', 'recipe', 'also', 'includes', 'vanilla', 'exclusively', 'issue', 'fanzine', 'fanzine', 'club']",6,2018,6.0,0.2349
59,Non-Alcoholic Beer,0.5,265,Other,"['alcoholfree', 'redcurrant', 'berliner', 'weisse', 'small', 'batch']",10,2018,3.0,0.2381
60,Stout - Imperial / Double White,10.0,1953,Stout,"['match', 'appearance', 'fullbodied', 'golden', 'aged', 'golden', 'graham', 'cold', 'steeped', 'coffee', 'like', 'milk', 'left', 'bottom', 'cereal', 'bowl', 'drink', 'close', 'sun']",8,2018,5.0,0.2059
61,Stout - Oyster,5.2,1333,Stout,"['collaboration', 'combine', 'waverly', 'local', 'oyster', 'started', 'roasty', 'dark', 'dosed', 'shell', 'meat', 'real', 'maryland', 'oyster', 'try', 'nitropour', 'last', 'smooth', 'slightly', 'oceanic', 'experience', 'contains', 'shellfish']",10,2016,6.0,0.2222
62,California Common,3.8,185,Other,"['utmost', 'refreshment', 'without', 'compromising', 'balance', 'oat', 'wheat', 'smooth', 'deliver', 'soft', 'profile', 'oceanic', 'bring', 'light', 'stonefruit', 'bill', 'vienna', 'carared', 'wheat', 'bill', 'enigma', 'nz', 'waiiti', 'ebc']",11,2018,1.0,0.2755
63,Smoked Beer,4.4,314,Other,"['ich', 'sweet', 'pitch', 'black', 'burnt', 'chocolatey', 'edge']",10,2017,6.0,0.2437
64,Strong Ale - English,6.2,314,Strong Ale,"['tawny', 'color', 'full', 'bodied', 'fruity', 'bitter', 'sweet', 'caramel', 'fruity', 'aftertaste']",10,2012,4.0,0.2667
65,IPA - Triple New England,10.0,1049,IPA,"['anniversary', 'tdh', 'tipa', 'another', 'older', 'another', 'young', 'another', 'attempt', 'pas', 'hoppy', 'wormhole', 'another', 'oil', 'laden', 'dimension', 'expedition', 'took', 'spaceship', 'sabro', 'substation', 'mosaic', 'sub', 'stratum', 'froze', 'crew', 'ekuanot', 'cryo', 'handed', 'control', 'robot', 'experimental', 'hbc', 'man', 'ship', 'another', 'galaxy', 'started', 'trying', 'make', 'offensively', 'overhopped', 'anniversary', 'accidentally', 'ended', 'writing', 'synopsis', 'sound', 'like', 'pretty', 'dope', 'scifi', 'novel', 'think', 'onto', 'something']",3,2020,1.0,0.2509
66,Lager - American,4.7,236,Lager,"['incredibly', 'drinkable', 'crowdfavorite', 'enjoyment', 'backyard', 'crushed', 'shotgunned', 'fireside', 'showerbeered', 'mass', 'rebel', 'force', 'rescued', 'dark', 'side', 'hijacked', 'favorite', 'part', 'added', 'wayfinder', 'crispness', 'expect', 'delicate', 'amount', 'noble', 'long', 'cool', 'ferment', 'celebrate', 'time', 'sun']",5,2020,5.0,0.2126
67,Grape Ale - Other,10.0,331,Other,"['collaboration', 'cooper', 'hall', 'winery', 'portland', 'dreamt', 'summer', 'refresher', 'perfect', 'relaxing', 'sun', 'fort', 'george', 'saison', 'cooper', 'hall', 'provided', 'riesling', 'cofermented', 'aged', 'french', 'oak', 'barrel', 'mixed', 'culture', 'consisting', 'wild', 'saccharomyces', 'saison', 'strain', 'different', 'brettanomyces', 'strain', 'couple', 'lactobacillus', 'strain', 'end', 'result', 'light', 'funky', 'lead', 'load', 'fruit', 'like', 'peach', 'green', 'apple', 'pineapple', 'melon', 'bright', 'dry', 'crisp']",7,2018,3.0,0.2778
68,Old Ale,11.0,972,Other,"['aged', 'bourbon', 'barrel', 'brandy', 'barrel']",2,2015,3.0,0.2424
69,IPA - Imperial / Double Black,9.5,350,IPA,"['big', 'bold', 'black', 'dark', 'smell', 'rich', 'nutty', 'roasted', 'molasses', 'mixed', 'citrusy', 'grapefruit', 'pine', 'taste', 'anywhere', 'near', 'nicely', 'balanced', 'enough', 'maltiness', 'give', 'pleasant', 'chewy', 'whopper', 'incredibly', 'smooth']",4,2016,6.0,0.2359
70,Pale Ale - International,6.4,215,Pale Ale,"['explain', 'kveik', 'yeast', 'norway', 'nt', 'require', 'temperature', 'control', 'like', 'yeast', 'let', 'tank', 'free', 'rise', 'get', 'nice', 'hot', 'little', 'yeastfriends', 'start', 'throw', 'ton', 'tropical', 'fruit', 'pair', 'mosaic', 'citra', 'simcoe', 'got', 'tropical', 'treat', 'collaboration', 'melvin']",5,2020,1.0,0.2251
71,Sour - Fruited Gose,5.3,1829,Sour,"['never', 'forever', 'cubed', 'triple', 'fruited', 'version', 'passionfruit', 'gose', 'never', 'forever', 'clocking', 'straight', 'insanity', 'absolute', 'fruit', 'ever', 'put', 'go', 'tropical', 'bright', 'sour', 'passionfruit', 'mouth', 'hole', 'thicc', 'please', 'significant', 'amount', 'fruit', 'imperative', 'can', 'remain', 'cold', 'time']",12,2018,1.0,0.2365
72,Wheat Beer - Other,5.5,816,Wheat Beer,"['collaboration', 'schneider', 'weisse', 'traditional', 'bavarian', 'wheat', 'boisterously', 'yeasty', 'ester', 'clove', 'banana', 'light', 'floral']",1,2019,5.0,0.3034
73,Stout - Coffee,10.5,152,Stout,"['ba', 'spresso', 'august', 'aged', 'woodford', 'reserve', 'double', 'oak', 'barrel', 'blended', 'fresh', 'spresso', 'aged', 'guatemalan', 'coffee', 'friend', 'caravan', 'roastery', 'dry', 'dark', 'roasty']",11,2018,3.0,0.2363
74,IPA - Belgian,7.2,690,IPA,"['stupidly', 'dry', 'unique', 'clean', 'farmhouse', 'strain', 'mosaic', 'citra', 'falconer', 'bed', 'pils', 'rye']",4,2017,1.0,0.2151
75,Pilsner - Imperial / Double,6.0,2443,Pilsner,"['oll', 'quarter', 'get', 'ready', 'player', 'oneplayer', 'combo', 'pit', 'backbone', 'pure', 'pilsner', 'special', 'move', 'germanic', 'dry', 'coinop', 'kaiser', 'secures', 'extra', 'credit', 'thanks', 'elevation', 'exportstrength', 'grassy', 'pithy', 'able', 'hurdle', 'obstacle', 'powered', 'ready', 'rumble', 'coinop', 'kaiser', 'always', 'accept', 'side', 'quest', 'part', 'fanzine', 'club']",8,2018,2.0,0.2106
76,Stout - Other,4.9,10587,Stout,"['creamy', 'dark', 'deep', 'chocolate', 'colour', 'nose', 'roast', 'coffee', 'liquorice', 'orange', 'peel', 'carry', 'smooth', 'mouthfeel', 'rich', 'malty', 'start', 'fresh', 'hoppy', 'middle', 'delicious', 'lingering', 'sweet', 'orange', 'taste', 'sure', 'get', 'marching', 'cold', 'winter', 'evening']",2,2011,6.0,0.2743
77,IPA - Belgian,9.0,3238,IPA,"['citra', 'greater', 'good', 'take', 'belgian', 'meaning', 'hopped', 'drink', 'like', 'hazy', 'feature', 'belgian', 'yeast', 'give', 'saison', 'retaining', 'pillowy', 'mouthfeel', 'hazy', 'loaded', 'citra', 'dryhop']",6,2016,1.0,0.2476
78,IPA - Session / India Session Ale,4.2,3670,IPA,"['crispy', 'yet', 'soft', 'session', 'mosaic', 'simcoe']",2,2020,1.0,0.2141
79,Red Ale - Irish,4.8,360,Red Ale,"['delicious', 'ruby', 'red', 'distinct', 'maltycaramel', 'derived', 'combination', 'crystal', 'roast', 'cereal', 'triple', 'hopped', 'deliver', 'good', 'balance', 'medium', 'bitterness', 'delicate', 'citrus']",10,2014,4.0,0.2351
80,Brown Ale - Other,5.0,398,Brown Ale,"['five', 'ago', 'honored', 'host', 'epic', 'day', 'badass', 'woman', 'fruit', 'labor', 'love', 'nastly', 'sour', 'aged', 'oak', 'five', 'deep', 'rich', 'robust', 'body', 'help', 'balance', 'tartness', 'benefit', 'planned', 'parenthood']",7,2017,2.0,0.239
81,Smoked Beer,6.8,162,Other,"['smoked', 'coffee', 'porter', 'w', 'vanilla', 'lactose', 'cedar']",5,2018,6.0,0.2381
82,Pale Ale - New England,5.2,4688,Pale Ale,"['stripped', 'back', 'grain', 'bill', 'hopped', 'classic', 'simcoe', 'columbus', 'chinook', 'centennial', 'soft', 'juicy', 'dank', 'like', 'extra', 'dextrin', 'caramalt', 'simcoe', 'columbus', 'chinook', 'centennial', 'yeast', 'london', 'iii', 'june', 'rebrew']",6,2019,1.0,0.3748
83,Winter Warmer,5.5,572,Other,"['dark', 'rich', 'lure', 'sweetness', 'butterscotch', 'balance', 'sweetness', 'lingering', 'bitterness', 'decidedly', 'moreish']",11,2013,4.0,0.2532
84,Pale Ale - Belgian,4.7,274,Pale Ale,"['produced', 'selection', 'world', 'highest', 'quality', 'malted', 'barley', 'including', 'specialty', 'crystal', 'belgium', 'germany', 'combined', 'classically', 'noble', 'beautiful', 'belgian', 'yeast', 'strain', 'brings', 'together', 'brilliant', 'dark', 'ruby', 'coloured', 'belgian', 'styled', 'aromatics', 'classic', 'belgian', 'follow', 'sweet', 'front', 'palate', 'rich', 'crystal', 'bitterness', 'balance', 'creating', 'drying', 'mid', 'palate', 'leaf', 'begging', 'another', 'food', 'pairing', 'great', 'meat', 'rich', 'desert']",9,2014,5.0,0.3075
