,beer_style,abv,num_ratings,beer_style_group,prepped_words,month_added,year_added,Dominant_Topic,Topic_Perc_Contrib
0,Scottish Ale,5.2,342,Other,"['traditional', 'dark', 'amber', 'scottish', 'maltysweet', 'slightly', 'drying', 'derived', 'roast', 'barley', 'using', 'locally', 'sourced', 'water', 'scottish', 'sown', 'grown', 'malted', 'barley', 'light', 'crystal', 'wheat', 'moderate', 'bitterness', 'come', 'mixture', 'target', 'golding']",5,2018,4.0,0.2573
1,Old Ale,5.0,1088,Other,"['dark', 'red', 'fruity', 'chocolate']",3,2012,6.0,0.1914
2,Lager - Winter,7.0,1479,Lager,"['colorado', 'winter', 'celebrated', 'maybe', 'season', 'good', 'snow', 'mean', 'great', 'skiing', 'importantly', 'plenty', 'water', 'coming', 'grow', 'local', 'use', 'celebrate', 'time', 'enjoy', 'smooth', 'slightly', 'sweet', 'warm', 'raise', 'glass', 'colorado', 'native', 'winterfest', 'enjoy', 'last']",12,2015,2.0,0.2352
3,Pale Ale - New England,5.0,502,Pale Ale,"['bouncer', 'usually', 'stop', 'door', 'shoe', 'guy', 'muscle', 'bound', 'arm', 'welcome', 'party', 'party', 'front', 'tropical', 'fruit', 'citrus', 'coconut', 'welcome', 'create', 'dance', 'party', 'mouth', 'lean', 'bill', 'let', 'shine', 'silky', 'smooth', 'full', 'bouncer', 'shirt', 'bulging', 'biceps', 'hazy', 'double', 'dry', 'hopped', 'need', 'bouncer', 'escorting']",1,2020,1.0,0.2444
4,Stout - Milk / Sweet,5.4,4944,Stout,"['tribute', 'classic', 'golden', 'gaytime', 'ice', 'cream', 'gab']",4,2015,6.0,0.1988
5,Sour - Fruited Gose,3.9,567,Sour,"['front', 'yard', 'enjoyed', 'frontyards', 'modern', 'interpretation', 'classic', 'gose', 'saltiness', 'achieved', 'use', 'actual', 'sea', 'water', 'beach', 'front', 'black', 'north', 'burleigh', 'frontyards', 'lemon', 'tartness', 'gose', 'refreshing', 'mix', 'cucumber', 'mint', 'frontyards', 'ultimate', 'sour', 'smasher']",1,2019,4.0,0.2292
6,IPA - Rye,5.5,430,IPA,"['mouthwatering', 'back', 'bone', 'alluring', 'rye', 'spice', 'equinox', 'excellent', 'example', 'rye']",2,2016,4.0,0.209
7,Pale Ale - English,4.3,275,Pale Ale,"['pineapple', 'collaboration', 'duke', 'york']",1,2017,3.0,0.1996
8,Fruit Beer,4.5,382,Other,"['friend', 'vibrant', 'forest', 'ekuanot', 'dryhopped', 'heavy', 'amount', 'guava', 'papaya', 'added', 'create', 'fruity', 'refreshing', 'summer']",8,2019,1.0,0.2413
9,Cider - Herbed / Spiced / Hopped,5.5,255,Cider,"['hopped', 'cider']",7,2017,1.0,0.1795
10,Wheat Beer - American Pale Wheat,6.1,848,Wheat Beer,"['designed', 'integrate', 'field', 'vine', 'al', 'fresco', 'drinking', 'mind', 'super', 'body', 'featuring', 'wheat', 'extra', 'allied', 'balanced', 'bitterness', 'mellow', 'huell', 'melon', 'fermentation', 'concluded', 'addition', 'gewurztraminer', 'viognier', 'sauvignon', 'blanc', 'grape', 'juice', 'dry', 'hopped', 'huell', 'melon', 'nz', 'nelson', 'sauvin', 'accentuate', 'vinious', 'white', 'fruit', 'added', 'lemon', 'curacao', 'orange', 'zesty', 'mouthfeel', 'resulting', 'deliciously', 'delicate', 'summer', 'wheat', 'perfect', 'summer', 'drinking', 'extra', 'wheat', 'huell', 'melon', 'nz', 'nelson', 'sauvin']",5,2016,1.0,0.3313
