beer_style,abv,num_ratings,beer_style_group,month_added,year_added,Dominant_Topic,Topic_Perc_Contrib
Scottish Ale,5.2,342,Other,5,2018,4.0,0.2573
Old Ale,5.0,1088,Other,3,2012,6.0,0.1914
Lager - Winter,7.0,1479,Lager,12,2015,2.0,0.2352
Pale Ale - New England,5.0,502,Pale Ale,1,2020,1.0,0.2444
Stout - Milk / Sweet,5.4,4944,Stout,4,2015,6.0,0.1988
Sour - Fruited Gose,3.9,567,Sour,1,2019,4.0,0.2292
IPA - Rye,5.5,430,IPA,2,2016,4.0,0.209
Pale Ale - English,4.3,275,Pale Ale,1,2017,3.0,0.1996
Fruit Beer,4.5,382,Other,8,2019,1.0,0.2413
Cider - Herbed / Spiced / Hopped,5.5,255,Cider,7,2017,1.0,0.1795
Wheat Beer - American Pale Wheat,6.1,848,Wheat Beer,5,2016,1.0,0.3313
Pilsner - German,5.0,297,Pilsner,12,2018,5.0,0.2803
English Mild Ale,4.7,207,Other,1,2017,5.0,0.1859
IPA - Imperial / Double,7.9,439,IPA,9,2018,1.0,0.2444
Märzen,5.0,911,Other,3,2011,4.0,0.2587
Cider - Other Fruit,5.0,25386,Cider,7,2013,5.0,0.2177
Mead - Acerglyn / Maple Wine,14.0,390,Mead,2,2019,6.0,0.2396
Porter - Coffee,6.0,2558,Porter,12,2018,6.0,0.2312
Strong Ale - English,11.5,470,Strong Ale,1,2016,3.0,0.2263
Schwarzbier,5.8,295,Other,8,2019,5.0,0.2061
IPA - American,6.9,295,IPA,3,2017,1.0,0.3611
Old Ale,9.4,933,Other,7,2014,3.0,0.2616
Sour - Berliner Weisse,3.2,273,Sour,5,2016,3.0,0.2024
Strong Ale - English,5.3,2914,Strong Ale,10,2011,4.0,0.229
Wheat Beer - American Pale Wheat,4.0,353,Wheat Beer,6,2017,1.0,0.2743
IPA - New England,6.5,2837,IPA,10,2019,2.0,0.3006
Traditional Ale,6.3,460,Other,1,2020,2.0,0.332
Sour - Fruited Gose,4.5,1807,Sour,10,2019,1.0,0.2872
Lager - Pale,6.5,226,Lager,8,2018,5.0,0.2205
Stout - Imperial / Double,14.0,2541,Stout,4,2016,3.0,0.2389
Traditional Ale,6.9,170,Other,9,2019,3.0,0.195
IPA - Triple New England,10.0,2330,IPA,2,2019,1.0,0.2678
Cider - Traditional,6.0,518,Cider,11,2017,2.0,0.1966
IPA - New England,7.4,2089,IPA,6,2018,1.0,0.2438
Kristallweizen,6.2,1421,Other,9,2018,3.0,0.2369
IPA - Triple New England,9.6,1599,IPA,3,2018,1.0,0.2845
Stout - Coffee,7.2,774,Stout,8,2016,3.0,0.1989
Lager - Dark,5.7,938,Lager,8,2017,5.0,0.1954
Sour - Fruited Berliner Weisse,7.0,339,Sour,6,2020,3.0,0.2116
Stout - Coffee,6.5,2069,Stout,10,2016,3.0,0.2422
