beer_style,abv,num_ratings,beer_style_group,month_added,year_added,Dominant_Topic,Topic_Perc_Contrib
Mead - Metheglin,4.0,1248,Mead,3,2016,4.0,0.1813
IPA - Session / India Session Ale,4.3,226,IPA,2,2019,1.0,0.2407
Winter Warmer,10.4,637,Other,12,2019,6.0,0.2281
Brown Ale - American,4.9,1050,Brown Ale,11,2014,5.0,0.2168
Stout - Imperial / Double,9.0,1701,Stout,5,2015,2.0,0.23
IPA - International,6.1,169,IPA,10,2018,1.0,0.195
IPA - American,6.8,4876,IPA,2,2019,1.0,0.3253
Porter - Coffee,9.0,506,Porter,11,2019,6.0,0.3596
Sour - Fruited Berliner Weisse,7.4,3499,Sour,10,2019,6.0,0.3021
Porter - Other,5.2,850,Porter,4,2019,6.0,0.282
Cider - Rosé,5.5,25534,Cider,12,2017,3.0,0.2948
Stout - Imperial / Double,8.4,4604,Stout,12,2014,6.0,0.4358
Farmhouse Ale - Other,5.4,1640,Farmhouse Ale,10,2015,3.0,0.195
Traditional Ale,5.0,487,Other,4,2017,4.0,0.2977
Farmhouse Ale - Saison,5.5,607,Farmhouse Ale,6,2018,3.0,0.2318
Pilsner - Czech,5.1,257,Pilsner,3,2018,2.0,0.2138
Sour - Fruited Gose,4.5,1107,Sour,6,2019,1.0,0.2378
Brown Ale - English,4.7,180,Brown Ale,10,2013,4.0,0.2664
Porter - Baltic,6.2,1286,Porter,6,2018,6.0,0.2349
Non-Alcoholic Beer,0.5,265,Other,10,2018,3.0,0.2381
Stout - Imperial / Double White,10.0,1953,Stout,8,2018,5.0,0.2059
Stout - Oyster,5.2,1333,Stout,10,2016,6.0,0.2222
California Common,3.8,185,Other,11,2018,1.0,0.2755
Smoked Beer,4.4,314,Other,10,2017,6.0,0.2437
Strong Ale - English,6.2,314,Strong Ale,10,2012,4.0,0.2667
IPA - Triple New England,10.0,1049,IPA,3,2020,1.0,0.2509
Lager - American,4.7,236,Lager,5,2020,5.0,0.2126
Grape Ale - Other,10.0,331,Other,7,2018,3.0,0.2778
Old Ale,11.0,972,Other,2,2015,3.0,0.2424
IPA - Imperial / Double Black,9.5,350,IPA,4,2016,6.0,0.2359
Pale Ale - International,6.4,215,Pale Ale,5,2020,1.0,0.2251
Sour - Fruited Gose,5.3,1829,Sour,12,2018,1.0,0.2365
Wheat Beer - Other,5.5,816,Wheat Beer,1,2019,5.0,0.3034
Stout - Coffee,10.5,152,Stout,11,2018,3.0,0.2363
IPA - Belgian,7.2,690,IPA,4,2017,1.0,0.2151
Pilsner - Imperial / Double,6.0,2443,Pilsner,8,2018,2.0,0.2106
Stout - Other,4.9,10587,Stout,2,2011,6.0,0.2743
IPA - Belgian,9.0,3238,IPA,6,2016,1.0,0.2476
IPA - Session / India Session Ale,4.2,3670,IPA,2,2020,1.0,0.2141
Red Ale - Irish,4.8,360,Red Ale,10,2014,4.0,0.2351
Brown Ale - Other,5.0,398,Brown Ale,7,2017,2.0,0.239
Smoked Beer,6.8,162,Other,5,2018,6.0,0.2381
Pale Ale - New England,5.2,4688,Pale Ale,6,2019,1.0,0.3748
Winter Warmer,5.5,572,Other,11,2013,4.0,0.2532
Pale Ale - Belgian,4.7,274,Pale Ale,9,2014,5.0,0.3075
Traditional Ale,6.5,218,Other,1,2019,6.0,0.2519
Sour - Fruited Berliner Weisse,7.0,164,Sour,11,2019,6.0,0.2389
Farmhouse Ale - Saison,5.5,1272,Farmhouse Ale,2,2017,5.0,0.2519
Kölsch,5.0,217,Other,3,2020,5.0,0.2576
English Mild Ale,3.8,817,Other,7,2017,6.0,0.2
Stout - Foreign / Export,6.0,36169,Stout,12,2017,6.0,0.2407
Lambic - Gueuze,6.0,941,Lambic,4,2019,3.0,0.256
IPA - American,6.5,390,IPA,4,2019,1.0,0.3177
Stout - Imperial / Double,10.0,376,Stout,3,2018,6.0,0.2593
Kölsch,4.9,373,Other,8,2017,5.0,0.1984
Sour - Fruited,7.0,875,Sour,1,2020,1.0,0.1957
Porter - Imperial / Double,12.0,974,Porter,4,2019,3.0,0.2778
IPA - Imperial / Double Black,14.6,1162,IPA,2,2012,2.0,0.2751
Gluten-Free,5.0,175,Other,12,2018,1.0,0.3217
Pumpkin / Yam Beer,9.4,4933,Other,8,2014,6.0,0.2527
Pale Ale - International,4.8,177,Pale Ale,3,2017,3.0,0.1818
Golden Ale,8.5,1410,Other,4,2015,6.0,0.1914
IPA - Session / India Session Ale,4.3,198,IPA,7,2019,1.0,0.2466
Stout - Irish Dry,6.0,1017,Stout,1,2016,6.0,0.2452
Brown Ale - Belgian,8.9,319,Brown Ale,9,2014,6.0,0.2061
Lager - Euro Dark,5.4,213,Lager,10,2018,3.0,0.2271
Mead - Traditional,13.5,453,Mead,11,2011,6.0,0.2205
Festbier,5.6,190,Other,6,2019,5.0,0.2517
Pale Ale - New Zealand,6.4,175,Pale Ale,1,2017,2.0,0.3377
IPA - Black / Cascadian Dark Ale,6.5,553,IPA,4,2012,3.0,0.209
Stout - Imperial / Double Pastry,16.5,1021,Stout,1,2020,6.0,0.3016
Brown Ale - Belgian,6.0,248,Brown Ale,3,2016,6.0,0.209
Stout - Russian Imperial,14.6,1212,Stout,1,2018,6.0,0.2262
Lager - Winter,6.1,272,Lager,11,2018,5.0,0.1992
Brown Ale - Imperial / Double,13.0,797,Brown Ale,12,2017,6.0,0.231
Stout - Milk / Sweet,8.5,6540,Stout,10,2016,6.0,0.2593
Lager - Pale,4.8,468,Lager,4,2020,1.0,0.1879
Stout - Imperial / Double Oatmeal,13.7,15552,Stout,12,2012,3.0,0.2113
Lager - Helles,4.6,39317,Lager,12,2013,5.0,0.3065
Sour - Other,4.0,165,Sour,5,2018,1.0,0.2242
Smoked Beer,5.5,1475,Other,5,2016,6.0,0.2222
Kellerbier / Zwickelbier,4.2,305,Other,4,2020,5.0,0.2056
Wheat Beer - American Pale Wheat,5.0,195,Wheat Beer,10,2013,2.0,0.2519
Brown Ale - English,5.0,605,Brown Ale,2,2011,4.0,0.2256
Porter - Coffee,5.9,171,Porter,8,2018,6.0,0.224
Belgian Strong Golden Ale,7.2,354,Belgian,2,2017,2.0,0.4303
Stout - Imperial / Double White,12.75,201,Stout,11,2018,3.0,0.2391
Rauchbier,13.5,154,Other,9,2016,3.0,0.2061
Cider - Other Fruit,4.0,535,Cider,4,2011,5.0,0.2013
IPA - Imperial / Double New England,8.1,1106,IPA,1,2020,1.0,0.3128
Rye Beer,4.5,575,Other,8,2015,1.0,0.1866
Barleywine - Other,13.8,302,Barleywine,11,2019,3.0,0.2492
Pilsner - German,5.2,189,Pilsner,1,2020,5.0,0.2066
IPA - American,9.9,240,IPA,12,2014,1.0,0.2804
Cider - Sweet,6.5,2583,Cider,9,2014,3.0,0.2222
Shandy / Radler,3.2,370,Other,10,2018,2.0,0.1987
Hefeweizen,5.2,1645,Other,5,2017,5.0,0.3037
IPA - American,6.0,393,IPA,8,2020,1.0,0.2802
Stout - Imperial / Double Oatmeal,10.0,2074,Stout,3,2016,6.0,0.2797
Stout - Imperial / Double,13.9,808,Stout,3,2019,6.0,0.2154
Stout - English,7.1,152,Stout,11,2019,2.0,0.2447
Pilsner - German,5.0,346,Pilsner,7,2020,4.0,0.1795
Pale Ale - Milkshake,4.5,188,Pale Ale,10,2020,3.0,0.2061
Stout - Imperial / Double,13.7,9660,Stout,4,2012,2.0,0.2482
Porter - Coffee,5.2,16069,Porter,10,2014,6.0,0.3492
IPA - Brut,7.1,1888,IPA,8,2018,1.0,0.2266
Scotch Ale / Wee Heavy,8.3,273,Other,9,2012,2.0,0.1958
California Common,5.7,976,Other,1,2017,2.0,0.2281
Scotch Ale / Wee Heavy,4.2,1222,Other,11,2010,4.0,0.2359
Winter Ale,8.3,1096,Other,1,2017,2.0,0.2183
California Common,4.5,12148,Other,12,2010,2.0,0.2705
IPA - Imperial / Double,8.5,2534,IPA,9,2016,2.0,0.3614
Lager - IPL (India Pale Lager),8.5,23475,Lager,11,2011,1.0,0.3067
Porter - Coffee,7.0,165,Porter,3,2018,6.0,0.3237
Gluten-Free,4.2,1225,Other,8,2016,4.0,0.1859
Pale Ale - New England,5.5,800,Pale Ale,10,2020,1.0,0.4507
IPA - Sour,10.27,467,IPA,8,2019,1.0,0.2584
Grätzer / Grodziskie,5.5,531,Other,4,2014,5.0,0.1963
Kombucha,0.5,241,Other,7,2018,5.0,0.2447
Pale Ale - English,4.7,163,Pale Ale,6,2017,1.0,0.2684
Porter - Other,6.5,757,Porter,9,2018,6.0,0.2869
Belgian Tripel,11.5,1079,Belgian,6,2014,3.0,0.2164
Cream Ale,5.8,1165,Other,5,2016,5.0,0.2069
Red Ale - American Amber / Red,6.3,692,Red Ale,9,2015,4.0,0.2892
Stout - Imperial / Double Coffee,9.5,2362,Stout,5,2018,6.0,0.3482
Lager - IPL (India Pale Lager),4.0,1545,Lager,5,2013,3.0,0.2135
Mead - Metheglin,14.0,183,Mead,5,2017,3.0,0.2061
Fruit Beer,5.3,660,Other,2,2019,3.0,0.2682
Schwarzbier,4.5,271,Other,8,2017,4.0,0.1959
Pale Ale - New England,4.8,1401,Pale Ale,6,2019,1.0,0.2792
IPA - Sour,8.0,1110,IPA,6,2020,1.0,0.2222
Mead - Melomel,13.0,1896,Mead,1,2016,3.0,0.2185
Winter Warmer,5.9,27903,Other,8,2010,4.0,0.2118
Wild Ale - Other,3.6,11938,Other,11,2013,3.0,0.3596
Pale Ale - English,5.2,206,Pale Ale,3,2017,1.0,0.2361
Cider - Other Fruit,4.0,458,Cider,11,2015,3.0,0.195
Sour - Fruited Berliner Weisse,4.5,2716,Sour,10,2019,1.0,0.2537
IPA - Brut,8.5,155,IPA,8,2018,1.0,0.2264
Sour - Fruited Gose,4.7,266,Sour,12,2019,4.0,0.2146
Kölsch,4.9,944,Other,12,2014,5.0,0.2786
Sour - Fruited,7.2,1562,Sour,6,2020,3.0,0.2141
Lager - Pale,5.0,1841,Lager,4,2012,2.0,0.3826
Dunkelweizen,5.2,265,Other,11,2018,2.0,0.2207
Fruit Beer,7.07,639,Other,5,2020,3.0,0.2056
Pale Ale - International,4.2,466,Pale Ale,2,2016,1.0,0.1996
Pale Ale - International,5.5,340,Pale Ale,3,2019,1.0,0.3056
Belgian Tripel,9.2,644,Belgian,12,2017,3.0,0.272
Barleywine - English,9.5,237,Barleywine,10,2015,4.0,0.2022
Pilsner - Imperial / Double,7.0,1105,Pilsner,11,2016,5.0,0.2687
Farmhouse Ale - Bière de Mars,5.5,749,Farmhouse Ale,3,2011,3.0,0.2113
Lambic - Kriek,9.5,383,Lambic,11,2017,3.0,0.1987
Smoked Beer,7.1,161,Other,5,2013,6.0,0.2151
IPA - Black / Cascadian Dark Ale,8.9,1483,IPA,2,2017,5.0,0.2266
IPA - Session / India Session Ale,4.0,2501,IPA,4,2019,1.0,0.2426
Farmhouse Ale - Sahti,6.53,218,Farmhouse Ale,9,2016,2.0,0.1944
IPA - Brut,7.1,253,IPA,11,2018,1.0,0.2496
Stout - Imperial / Double Pastry,11.0,1530,Stout,9,2017,6.0,0.2756
Sour - Fruited Berliner Weisse,4.3,249,Sour,2,2016,3.0,0.2022
Stout - Russian Imperial,13.2,307,Stout,7,2019,3.0,0.2323
Pale Ale - New England,5.6,1819,Pale Ale,4,2019,1.0,0.2359
Bock - Weizenbock,7.3,545,Bock,1,2016,5.0,0.2639
Altbier,8.5,665,Other,11,2016,3.0,0.2561
Pilsner - Other,4.7,176,Pilsner,9,2017,5.0,0.1852
Red Ale - Other,5.2,252,Red Ale,4,2016,4.0,0.3776
IPA - Triple New England,10.5,1402,IPA,7,2019,1.0,0.275
Pale Ale - American,5.0,2330,Pale Ale,2,2018,1.0,0.2754
Kristallweizen,6.3,1432,Other,10,2013,5.0,0.274
Pilsner - German,4.8,462,Pilsner,5,2020,5.0,0.2967
Brown Ale - Other,4.5,298,Brown Ale,5,2016,4.0,0.1973
Ginger Beer,4.2,239,Other,9,2012,5.0,0.2546
Cider - Perry,4.5,206,Cider,12,2012,4.0,0.1879
Grisette,3.5,190,Other,9,2017,3.0,0.2205
Stout - Imperial / Double,15.0,5740,Stout,2,2012,3.0,0.2355
Brown Ale - Other,5.8,244,Brown Ale,8,2018,4.0,0.2481
Winter Ale,8.5,629,Other,12,2014,6.0,0.2674
Stout - American,5.5,400,Stout,6,2018,6.0,0.1905
Pale Ale - International,5.1,340,Pale Ale,3,2017,1.0,0.1963
Pilsner - Other,5.8,523,Pilsner,11,2019,1.0,0.209
Table Beer,3.0,162,Other,5,2019,5.0,0.2644
Sour - Fruited,5.0,2596,Sour,10,2016,3.0,0.2057
Cider - Other Fruit,6.4,857,Cider,9,2014,3.0,0.2972
Winter Ale,4.5,160,Other,2,2013,6.0,0.195
Pale Ale - New Zealand,6.5,170,Pale Ale,5,2015,1.0,0.2634
Malt Beer,5.9,280,Other,3,2015,1.0,0.1975
Lager - Dark,4.9,624,Lager,10,2016,6.0,0.2145
IPA - Imperial / Double,8.0,233037,IPA,8,2010,1.0,0.3207
Sour - Berliner Weisse,5.5,294,Sour,12,2015,2.0,0.2132
IPA - Sour,5.0,162,IPA,12,2019,2.0,0.2899
IPA - Milkshake,5.5,16944,IPA,9,2016,1.0,0.2323
IPA - Imperial / Double,8.5,2869,IPA,8,2017,1.0,0.3417
Lager - Helles,5.0,155,Lager,1,2020,3.0,0.2077
Strong Ale - English,7.0,336,Strong Ale,12,2012,4.0,0.2599
IPA - Imperial / Double,7.8,2767,IPA,2,2016,1.0,0.2967
Ginger Beer,4.3,282,Other,12,2012,5.0,0.2378
Lager - IPL (India Pale Lager),5.0,932,Lager,3,2017,1.0,0.1987
Stout - Other,6.6,977,Stout,8,2018,6.0,0.2222
English Bitter,6.3,414,Other,8,2015,1.0,0.1795
Bock - Doppelbock,13.5,558,Bock,3,2019,3.0,0.1879
IPA - Rye,7.1,274,IPA,12,2019,1.0,0.228
Strong Ale - Other,11.1,4041,Strong Ale,5,2019,3.0,0.2468
Smoked Beer,5.5,955,Other,11,2016,2.0,0.3535
Lager - Dortmunder / Export,5.6,1540,Lager,6,2018,4.0,0.2266
Cider - Perry,6.0,155,Cider,10,2017,1.0,0.1795
Smoked Beer,5.6,1141,Other,12,2013,4.0,0.2254
Burton Ale,7.3,1103,Other,1,2012,2.0,0.1996
Sour - Fruited,8.7,220,Sour,9,2020,6.0,0.2433
Table Beer,3.2,264,Other,4,2018,1.0,0.3101
IPA - Black / Cascadian Dark Ale,6.9,1050,IPA,8,2018,1.0,0.2607
Brown Ale - English,3.0,220,Brown Ale,1,2014,4.0,0.1997
IPA - Imperial / Double,8.2,1103,IPA,8,2018,1.0,0.3148
Wheat Beer - Other,5.3,179,Wheat Beer,5,2019,6.0,0.2886
IPA - Rye,8.65,2416,IPA,5,2011,1.0,0.2116
Belgian Blonde,5.5,382,Belgian,2,2017,3.0,0.2787
Pilsner - Other,5.0,379,Pilsner,5,2020,5.0,0.2698
IPA - White,6.0,757,IPA,1,2019,4.0,0.2686
IPA - Imperial / Double,8.0,3449,IPA,7,2020,1.0,0.3486
Stout - Irish Dry,6.5,237,Stout,9,2016,6.0,0.2172
Sour - Berliner Weisse,3.5,477,Sour,2,2018,3.0,0.2151
Bock - Single / Traditional,10.0,1478,Bock,7,2013,4.0,0.2179
American Wild Ale,6.3,7639,Other,7,2015,3.0,0.2461
Mead - Braggot,8.4,476,Mead,4,2013,6.0,0.2329
Pale Ale - American,5.2,690,Pale Ale,3,2019,1.0,0.2044
Sour - Fruited Gose,3.5,1207,Sour,5,2017,4.0,0.2389
Sour - Gose,5.0,1234,Sour,11,2019,3.0,0.2556
IPA - International,7.0,6099,IPA,7,2019,1.0,0.3117
Old Ale,14.5,2532,Other,11,2010,3.0,0.3824
Pilsner - Czech,3.5,396,Pilsner,7,2016,2.0,0.2427
Stout - Russian Imperial,10.0,389,Stout,9,2012,3.0,0.256
Stout - Milk / Sweet,6.4,1097,Stout,9,2019,6.0,0.2586
Sour - Fruited,6.8,499,Sour,10,2018,3.0,0.217
Porter - Imperial / Double Baltic,9.0,261,Porter,4,2019,6.0,0.2677
Pilsner - Other,5.1,341,Pilsner,5,2015,5.0,0.2426
IPA - International,7.4,866,IPA,2,2020,1.0,0.2778
Pilsner - Other,6.5,1665,Pilsner,3,2019,4.0,0.2495
Brett Beer,5.5,1154,Other,1,2019,1.0,0.2557
Pilsner - German,4.9,518,Pilsner,8,2020,5.0,0.2284
Wheat Beer - Other,4.8,453,Wheat Beer,7,2017,5.0,0.2127
Extra Special / Strong Bitter,4.8,574,Other,8,2016,4.0,0.2056
Porter - Imperial / Double Coffee,10.0,1462,Porter,6,2017,6.0,0.2813
Pilsner - German,5.2,342,Pilsner,5,2019,5.0,0.2796
Stout - Russian Imperial,9.0,480,Stout,6,2016,3.0,0.2202
Brown Ale - Imperial / Double,10.5,769,Brown Ale,9,2018,6.0,0.2298
Stout - Pastry,6.2,640,Stout,11,2020,6.0,0.3062
Mead - Braggot,15.2,1099,Mead,1,2018,3.0,0.2222
American Wild Ale,5.5,2582,Other,9,2015,3.0,0.3191
Stout - Russian Imperial,10.0,203,Stout,8,2020,6.0,0.1879
Lager - Helles,6.0,534,Lager,1,2018,1.0,0.2099
IPA - Belgian,6.0,569,IPA,11,2018,5.0,0.224
English Bitter,4.2,578,Other,4,2011,5.0,0.2378
Mead - Metheglin,13.0,435,Mead,4,2012,6.0,0.2949
IPA - Triple,10.0,1674,IPA,5,2015,2.0,0.4742
Lager - Dark,4.8,373,Lager,12,2018,4.0,0.2886
Sour - Fruited Gose,4.8,622,Sour,8,2018,1.0,0.1896
IPA - Milkshake,7.2,2987,IPA,7,2018,1.0,0.2657
Red Ale - Imperial / Double,11.0,1962,Red Ale,1,2016,3.0,0.2099
Kvass,4.2,217,Other,6,2019,5.0,0.2027
Belgian Quadrupel,16.9,6390,Belgian,1,2017,2.0,0.1927
Brown Ale - Other,6.5,394,Brown Ale,4,2017,6.0,0.181
Malt Liquor ,4.6,429,Other,5,2016,3.0,0.202
Pale Ale - American,4.6,1302,Pale Ale,3,2014,5.0,0.2588
English Bitter,4.0,220,Other,8,2014,3.0,0.5429
Mead - Pyment,14.0,896,Mead,9,2018,6.0,0.3148
Mead - Cyser,7.0,288,Mead,3,2017,3.0,0.3723
Pilsner - Other,5.2,394,Pilsner,7,2018,5.0,0.2626
Schwarzbier,4.5,404,Other,6,2017,6.0,0.2593
Sour - Fruited,5.5,439,Sour,7,2020,3.0,0.2275
Porter - English,6.5,1911,Porter,8,2017,6.0,0.2819
English Bitter,4.4,252,Other,7,2016,4.0,0.2794
Grätzer / Grodziskie,3.3,310,Other,9,2016,3.0,0.1761
Mead - Other,14.0,673,Mead,12,2018,6.0,0.2318
Honey Beer,4.5,9910,Other,9,2013,2.0,0.2474
Rye Beer,6.7,259,Other,5,2014,2.0,0.3002
Smoked Beer,5.0,270,Other,6,2014,6.0,0.2505
Extra Special / Strong Bitter,5.3,3286,Other,7,2015,5.0,0.2339
Smoked Beer,10.0,10865,Other,1,2015,2.0,0.2281
Stout - Milk / Sweet,6.0,8814,Stout,12,2015,6.0,0.232
Hefeweizen Light / Leicht,5.6,175,Other,9,2019,5.0,0.2423
IPA - Session / India Session Ale,4.5,2457,IPA,6,2019,1.0,0.3707
IPA - Milkshake,7.0,2468,IPA,6,2018,1.0,0.3308
Mead - Metheglin,4.0,1705,Mead,5,2016,1.0,0.2389
Ginger Beer,6.0,959,Other,12,2016,2.0,0.1992
IPA - Session / India Session Ale,4.8,7386,IPA,11,2014,1.0,0.2375
Barleywine - Other,13.6,317,Barleywine,9,2018,1.0,0.2571
Scottish Ale,5.0,2686,Other,1,2011,4.0,0.2274
IPA - New England,6.4,187,IPA,3,2020,1.0,0.3131
Stout - Milk / Sweet,4.6,210,Stout,1,2017,4.0,0.1795
Old Ale,6.0,1138,Other,1,2017,2.0,0.2116
Brown Ale - Belgian,5.4,257,Brown Ale,4,2016,3.0,0.2172
Brown Ale - Belgian,7.0,6219,Brown Ale,2,2016,5.0,0.2524
Pilsner - German,5.5,1162,Pilsner,10,2016,1.0,0.2186
Rye Beer,4.6,289,Other,8,2018,5.0,0.1845
Barleywine - American,10.5,169,Barleywine,8,2016,2.0,0.1927
Hefeweizen,4.7,480,Other,7,2014,5.0,0.2269
Dampfbier,5.1,157,Other,6,2017,5.0,0.2166
English Bitter,5.2,414,Other,6,2011,4.0,0.2302
Stout - Oatmeal,7.1,320,Stout,5,2016,6.0,0.3173
Kellerbier / Zwickelbier,6.2,7642,Other,5,2016,5.0,0.2734
Pale Ale - New Zealand,5.0,164,Pale Ale,6,2017,6.0,0.1845
Lager - Helles,4.8,840,Lager,7,2019,5.0,0.2186
Pale Ale - American,5.5,216,Pale Ale,8,2020,5.0,0.226
Porter - Imperial / Double Coffee,10.0,6335,Porter,11,2018,6.0,0.2981
IPA - Belgian,5.7,809,IPA,6,2016,4.0,0.2285
Pale Ale - Belgian,4.4,150,Pale Ale,6,2016,5.0,0.2492
Pilsner - German,5.9,666,Pilsner,10,2016,1.0,0.195
Bock - Weizenbock,13.8,2614,Bock,11,2015,6.0,0.2298
IPA - New England,4.2,167,IPA,5,2020,1.0,0.3047
IPA - New England,4.5,2243,IPA,2,2020,1.0,0.2407
Belgian Quadrupel,11.0,282,Belgian,9,2018,4.0,0.2303
Stout - Imperial / Double Coffee,8.6,4342,Stout,8,2014,2.0,0.216
Porter - Coffee,6.6,159,Porter,9,2018,6.0,0.328
Sour - Berliner Weisse,3.8,1136,Sour,12,2017,3.0,0.2738
Scotch Ale / Wee Heavy,6.0,158,Other,2,2016,2.0,0.2515
Pilsner - Other,5.5,180,Pilsner,6,2018,5.0,0.2718
Stout - Other,5.9,288,Stout,9,2017,4.0,0.1882
Stout - American,8.0,294,Stout,5,2020,6.0,0.2222
Lager - Pale,4.5,542,Lager,11,2020,1.0,0.1983
Brown Ale - American,5.0,170,Brown Ale,2,2018,2.0,0.183
Belgian Strong Golden Ale,7.7,273,Belgian,2,2015,3.0,0.2515
Stout - Imperial / Double White,10.5,319,Stout,10,2018,6.0,0.2973
Belgian Strong Dark Ale,11.5,377,Belgian,5,2013,4.0,0.2394
Stout - Imperial / Double Oatmeal,8.2,18772,Stout,11,2017,2.0,0.2146
Fruit Beer,4.0,267,Other,9,2019,4.0,0.2164
IPA - Imperial / Double,9.0,1060,IPA,4,2015,1.0,0.3607
Red Ale - American Amber / Red,4.6,533,Red Ale,10,2017,6.0,0.2374
Wheat Beer - American Pale Wheat,4.2,2319,Wheat Beer,2,2019,5.0,0.2024
Cider - Traditional,4.0,156,Cider,7,2017,3.0,0.1921
Dunkelweizen,5.2,176,Other,1,2015,6.0,0.1987
Lager - Red,5.8,2170,Lager,11,2016,5.0,0.2278
Belgian Dubbel,6.0,232,Belgian,9,2018,6.0,0.2222
Stout - Other,9.9,188,Stout,11,2018,6.0,0.2333
IPA - Milkshake,6.5,10108,IPA,2,2017,1.0,0.2609
Farmhouse Ale - Sahti,5.5,324,Farmhouse Ale,5,2014,5.0,0.3374
Sour - Flanders Red Ale,8.2,789,Sour,8,2018,3.0,0.3558
Brown Ale - American,5.1,1168,Brown Ale,10,2017,4.0,0.2593
Pale Ale - Australian,4.7,563,Pale Ale,2,2016,1.0,0.2355
IPA - Rye,6.0,207,IPA,9,2020,1.0,0.2305
Belgian Dubbel,7.0,416,Belgian,11,2019,6.0,0.1916
Stout - Imperial / Double,9.0,308,Stout,4,2017,6.0,0.2473
Bock - Weizenbock,7.2,1305,Bock,12,2016,2.0,0.2173
IPA - American,7.2,5239,IPA,7,2016,2.0,0.243
Bière de Champagne / Bière Brut,8.0,150,Other,11,2018,2.0,0.1879
Stout - English,8.0,298,Stout,11,2019,6.0,0.1824
Old Ale,5.0,296,Other,2,2011,2.0,0.2019
Red Ale - American Amber / Red,5.1,333,Red Ale,11,2019,4.0,0.213
Pale Ale - New England,5.8,193,Pale Ale,12,2019,4.0,0.2565
Lager - IPL (India Pale Lager),6.2,785,Lager,8,2017,1.0,0.2405
IPA - Session / India Session Ale,5.0,625,IPA,5,2016,1.0,0.195
Kellerbier / Zwickelbier,5.7,1444,Other,11,2017,5.0,0.2095
Pale Ale - International,4.5,525,Pale Ale,10,2019,1.0,0.2099
English Mild Ale,3.6,237,Other,4,2013,6.0,0.183
Non-Alcoholic Beer,0.5,869,Other,8,2017,4.0,0.2441
Scotch Ale / Wee Heavy,9.5,579,Other,12,2014,3.0,0.2282
IPA - English,9.0,1112,IPA,4,2014,2.0,0.2947
IPA - Imperial / Double Black,7.5,10691,IPA,12,2011,1.0,0.1975
IPA - English,5.2,408,IPA,10,2013,5.0,0.1879
IPA - Imperial / Double Black,8.6,372,IPA,7,2014,2.0,0.2439
Brown Ale - American,5.4,1123,Brown Ale,6,2019,6.0,0.2361
Bock - Doppelbock,6.5,201,Bock,3,2014,4.0,0.2841
